{'0.png': [145.0, 122.0]}
{'92.png': [123.0, 176.0]}
{'93.png': [138.5, 180.5]}
{'94.png': [155.0, 176.0]}
{'95.png': [187.0, 126.5]}
{'96.png': [177.0, 96.0]}
{'97.png': [138.5, 72.0]}
{'98.png': [94.5, 84.0]}
{'99.png': [69.0, 120.0]}
{'100.png': [73.0, 142.5]}
{'101.png': [180.0, 125.5]}
{'102.png': [68.5, 135.0]}
{'103.png': [68.0, 117.0]}
{'104.png': [50.5, 128.5]}
{'105.png': [43.0, 140.5]}
{'106.png': [59.0, 151.0]}
{'107.png': [86.0, 154.5]}
{'108.png': [96.0, 166.0]}
{'109.png': [87.5, 179.5]}
{'110.png': [63.0, 185.5]}
{'111.png': [64.0, 163.5]}
{'112.png': [123.0, 76.5]}
{'113.png': [182.5, 134.0]}
{'114.png': [73.0, 134.5]}
{'115.png': [83.0, 103.0]}
{'116.png': [82.5, 102.0]}
{'117.png': [113.5, 122.5]}
{'118.png': [156.5, 104.0]}
{'119.png': [161.0, 82.0]}
{'120.png': [168.0, 51.0]}
{'121.png': [172.5, 62.0]}
{'122.png': [177.5, 85.5]}
{'123.png': [182.0, 111.0]}
{'124.png': [184.5, 143.5]}
{'125.png': [185.5, 142.0]}
{'126.png': [189.0, 150.0]}
{'127.png': [187.5, 153.5]}
{'128.png': [192.0, 157.5]}
{'129.png': [190.5, 161.5]}
{'130.png': [189.0, 167.5]}
{'131.png': [188.0, 172.0]}
{'132.png': [186.5, 178.5]}
{'133.png': [185.0, 184.5]}
{'134.png': [182.0, 192.5]}
{'135.png': [187.0, 155.0]}
{'136.png': [181.0, 199.5]}
{'137.png': [178.0, 207.5]}
{'138.png': [176.0, 215.0]}
{'139.png': [167.5, 214.5]}
{'140.png': [225.0, 127.5]}
{'141.png': [160.0, 28.5]}
{'142.png': [144.0, 43.0]}
{'143.png': [142.0, 69.0]}
{'144.png': [141.5, 93.5]}
{'145.png': [138.0, 103.0]}
{'146.png': [189.5, 165.0]}
{'147.png': [138.5, 80.0]}
{'148.png': [146.5, 55.5]}
{'149.png': [155.5, 43.0]}
{'150.png': [153.0, 81.5]}
{'151.png': [151.0, 115.5]}
{'152.png': [147.5, 113.5]}
{'153.png': [135.0, 114.5]}
{'154.png': [124.5, 114.0]}
{'155.png': [118.5, 113.5]}
{'156.png': [108.5, 113.0]}
{'157.png': [197.0, 168.5]}
{'158.png': [97.5, 115.0]}
{'159.png': [85.0, 118.5]}
{'160.png': [100.0, 156.0]}
{'161.png': [97.5, 99.0]}
{'162.png': [105.0, 159.0]}
{'163.png': [89.5, 109.0]}
{'164.png': [104.0, 58.5]}
{'165.png': [103.0, 75.5]}
{'166.png': [119.0, 58.5]}
{'167.png': [151.5, 50.5]}
{'168.png': [200.5, 165.0]}
{'169.png': [187.0, 64.0]}
{'170.png': [204.0, 95.5]}
{'171.png': [202.0, 132.5]}
{'172.png': [182.0, 162.0]}
{'173.png': [146.0, 173.5]}
{'174.png': [114.0, 168.5]}
{'175.png': [98.5, 153.0]}
{'176.png': [122.0, 178.5]}
{'177.png': [136.5, 192.5]}
{'178.png': [137.5, 194.0]}
{'179.png': [198.5, 153.0]}
{'180.png': [133.0, 195.5]}
{'181.png': [82.0, 84.5]}
{'182.png': [83.5, 73.5]}
{'183.png': [57.5, 84.0]}
{'184.png': [49.5, 81.5]}
{'185.png': [41.5, 101.0]}
{'186.png': [42.5, 123.5]}
{'187.png': [109.0, 46.0]}
{'188.png': [168.5, 57.0]}
{'189.png': [170.5, 60.5]}
{'190.png': [197.0, 142.0]}
{'191.png': [195.0, 58.5]}
{'192.png': [216.0, 44.0]}
{'193.png': [224.5, 50.5]}
{'194.png': [226.0, 56.5]}
{'195.png': [223.5, 42.5]}
{'196.png': [213.0, 27.0]}
{'197.png': [199.5, 19.5]}
{'198.png': [194.0, 19.0]}
{'199.png': [198.0, 21.5]}
{'200.png': [202.0, 25.0]}
{'201.png': [190.0, 123.0]}
{'202.png': [203.5, 31.5]}
{'203.png': [207.5, 36.5]}
{'204.png': [210.5, 43.5]}
{'205.png': [212.5, 50.0]}
{'206.png': [214.0, 58.0]}
{'207.png': [216.0, 64.5]}
{'208.png': [218.5, 71.5]}
{'209.png': [218.0, 79.0]}
{'210.png': [217.0, 87.0]}
{'211.png': [216.5, 94.5]}
{'212.png': [183.5, 106.0]}
{'213.png': [216.0, 103.0]}
{'214.png': [214.0, 110.0]}
{'215.png': [211.5, 116.5]}
{'216.png': [209.5, 124.5]}
{'217.png': [207.0, 131.0]}
{'218.png': [201.0, 137.5]}
{'219.png': [196.0, 143.0]}
{'220.png': [192.5, 148.5]}
{'221.png': [187.0, 153.5]}
{'222.png': [181.5, 158.5]}
{'223.png': [106.0, 62.0]}
{'224.png': [179.5, 95.5]}
{'225.png': [175.0, 163.0]}
{'226.png': [171.0, 167.0]}
{'227.png': [164.5, 171.5]}
{'228.png': [158.0, 174.5]}
{'229.png': [152.5, 177.0]}
{'230.png': [146.5, 178.5]}
{'231.png': [140.5, 179.5]}
{'232.png': [134.5, 180.0]}
{'233.png': [128.5, 181.0]}
{'234.png': [123.0, 180.5]}
{'235.png': [185.0, 92.0]}
{'236.png': [119.0, 180.5]}
{'237.png': [114.0, 178.5]}
{'238.png': [108.0, 177.0]}
{'239.png': [104.0, 174.5]}
{'240.png': [101.0, 172.0]}
{'241.png': [97.0, 169.5]}
{'242.png': [94.5, 168.0]}
{'243.png': [88.0, 164.5]}
{'244.png': [88.5, 167.0]}
{'245.png': [84.0, 154.5]}
{'246.png': [191.0, 94.0]}
{'247.png': [86.0, 154.5]}
{'248.png': [81.0, 154.0]}
{'249.png': [81.5, 146.0]}
{'250.png': [85.5, 143.5]}
{'251.png': [87.0, 140.5]}
{'252.png': [88.5, 137.0]}
{'253.png': [92.5, 134.0]}
{'254.png': [95.5, 132.0]}
{'255.png': [99.0, 129.0]}
{'256.png': [102.0, 128.0]}
{'257.png': [196.0, 95.5]}
{'258.png': [101.5, 125.5]}
{'259.png': [110.5, 125.0]}
{'260.png': [114.5, 125.5]}
{'261.png': [118.5, 126.0]}
{'262.png': [123.5, 125.5]}
{'263.png': [128.5, 126.5]}
{'264.png': [134.0, 128.5]}
{'265.png': [138.5, 130.5]}
{'266.png': [143.0, 134.0]}
{'267.png': [147.5, 136.5]}
{'268.png': [197.0, 93.0]}
{'269.png': [152.5, 140.0]}
{'270.png': [156.5, 144.0]}
{'271.png': [160.0, 149.0]}
{'272.png': [163.5, 154.0]}
{'273.png': [122.0, 179.5]}
{'274.png': [113.5, 158.5]}
{'275.png': [107.5, 172.0]}
{'276.png': [84.5, 197.0]}
{'277.png': [75.5, 203.0]}
{'278.png': [45.5, 166.5]}
{'279.png': [203.0, 93.0]}
{'280.png': [199.5, 81.5]}
{'281.png': [179.5, 196.0]}
{'282.png': [168.0, 197.5]}
{'283.png': [171.5, 167.5]}
{'284.png': [151.0, 135.5]}
{'285.png': [116.0, 123.5]}
{'286.png': [80.0, 138.0]}
{'287.png': [58.5, 171.0]}
{'288.png': [56.0, 210.5]}
{'289.png': [87.0, 236.0]}
{'290.png': [206.0, 88.5]}
{'291.png': [123.5, 241.5]}
{'292.png': [154.5, 228.5]}
{'293.png': [167.0, 194.5]}
{'294.png': [170.5, 177.0]}
{'295.png': [166.5, 192.0]}
{'296.png': [171.5, 182.0]}
{'297.png': [180.5, 152.5]}
{'298.png': [211.0, 137.0]}
{'299.png': [223.5, 136.0]}
{'300.png': [211.5, 138.5]}
{'301.png': [208.0, 83.5]}
{'302.png': [200.5, 141.0]}
{'303.png': [207.5, 145.5]}
{'304.png': [227.0, 159.0]}
{'305.png': [234.5, 182.0]}
{'306.png': [199.0, 173.0]}
{'307.png': [145.0, 162.0]}
{'308.png': [160.0, 168.5]}
{'309.png': [174.0, 159.0]}
{'310.png': [179.5, 138.0]}
{'311.png': [166.5, 105.5]}
{'312.png': [212.0, 79.0]}
{'313.png': [152.5, 94.0]}
{'314.png': [143.5, 89.5]}
{'315.png': [135.5, 86.5]}
{'316.png': [131.0, 82.5]}
{'317.png': [127.0, 77.5]}
{'318.png': [124.0, 73.5]}
{'319.png': [124.0, 68.5]}
{'320.png': [123.5, 76.0]}
{'321.png': [123.0, 115.5]}
{'322.png': [122.5, 123.0]}
{'323.png': [213.5, 73.5]}
{'324.png': [113.0, 129.0]}
{'325.png': [103.5, 131.5]}
{'326.png': [103.0, 151.5]}
{'327.png': [93.5, 106.0]}
{'328.png': [119.0, 51.0]}
{'329.png': [118.5, 86.5]}
{'330.png': [133.0, 87.5]}
{'331.png': [154.0, 97.0]}
{'332.png': [152.0, 100.5]}
{'333.png': [131.0, 96.5]}
{'334.png': [89.0, 51.0]}
{'335.png': [218.5, 65.0]}
{'336.png': [127.5, 85.5]}
{'337.png': [129.0, 63.5]}
{'338.png': [133.5, 67.5]}
{'339.png': [134.5, 74.5]}
{'340.png': [138.5, 73.5]}
{'341.png': [137.0, 88.5]}
{'342.png': [134.5, 99.5]}
{'343.png': [132.0, 111.0]}
{'344.png': [132.0, 130.5]}
{'345.png': [131.5, 152.0]}
{'346.png': [219.5, 61.0]}
{'347.png': [135.5, 110.5]}
{'348.png': [126.5, 120.0]}
{'349.png': [123.0, 129.5]}
{'350.png': [130.5, 141.0]}
{'351.png': [150.0, 130.0]}
{'352.png': [143.0, 103.5]}
{'353.png': [143.5, 100.0]}
{'354.png': [135.5, 115.0]}
{'355.png': [130.5, 133.0]}
{'356.png': [125.0, 149.5]}
{'357.png': [222.5, 61.5]}
{'358.png': [120.5, 169.0]}
{'359.png': [113.0, 183.0]}
{'360.png': [107.0, 200.0]}
{'361.png': [104.5, 218.5]}
{'362.png': [100.0, 221.5]}
{'363.png': [92.0, 216.5]}
{'364.png': [75.5, 204.0]}
{'365.png': [58.0, 194.0]}
{'366.png': [36.5, 169.0]}
{'367.png': [56.0, 59.0]}
{'368.png': [227.0, 63.0]}
{'369.png': [69.0, 45.5]}
{'370.png': [77.0, 61.0]}
{'371.png': [84.0, 79.0]}
{'372.png': [93.0, 100.0]}
{'373.png': [103.5, 122.0]}
{'374.png': [113.0, 143.5]}
{'375.png': [123.0, 173.0]}
{'376.png': [180.0, 139.5]}
{'377.png': [174.0, 95.0]}
{'378.png': [168.5, 86.5]}
{'379.png': [228.5, 62.0]}
{'380.png': [167.5, 76.0]}
{'381.png': [164.5, 68.5]}
{'382.png': [167.0, 50.0]}
{'383.png': [169.5, 59.5]}
{'384.png': [166.0, 93.5]}
{'385.png': [162.0, 132.5]}
{'386.png': [163.5, 171.5]}
{'387.png': [164.0, 196.5]}
{'388.png': [148.0, 205.0]}
{'389.png': [129.0, 213.5]}
{'390.png': [230.0, 60.0]}
{'391.png': [99.5, 231.0]}
{'392.png': [86.0, 210.0]}
{'393.png': [59.5, 181.5]}
{'394.png': [37.5, 169.0]}
{'395.png': [35.5, 164.0]}
{'396.png': [116.0, 38.5]}
{'397.png': [120.5, 57.5]}
{'398.png': [82.5, 99.5]}
{'399.png': [112.0, 99.5]}
{'400.png': [166.0, 96.5]}
{'401.png': [226.0, 58.5]}
{'402.png': [189.0, 90.5]}
{'403.png': [203.5, 85.0]}
{'404.png': [203.5, 86.5]}
{'405.png': [192.5, 87.5]}
{'406.png': [185.5, 89.0]}
{'407.png': [164.0, 80.5]}
{'408.png': [74.0, 129.0]}
{'409.png': [67.5, 161.5]}
{'410.png': [85.5, 160.5]}
{'411.png': [119.0, 160.5]}
{'412.png': [208.0, 62.0]}
{'413.png': [95.0, 110.0]}
{'414.png': [115.0, 90.0]}
{'415.png': [102.0, 97.0]}
{'416.png': [96.0, 103.5]}
{'417.png': [103.5, 110.5]}
{'418.png': [104.0, 125.5]}
{'419.png': [114.0, 138.5]}
{'420.png': [128.5, 128.0]}
{'421.png': [115.0, 113.0]}
{'422.png': [105.5, 99.0]}
{'423.png': [185.5, 69.0]}
{'424.png': [130.0, 82.5]}
{'425.png': [134.0, 82.0]}
{'426.png': [128.5, 73.0]}
{'427.png': [129.0, 109.0]}
{'428.png': [131.0, 117.0]}
{'429.png': [148.0, 109.0]}
{'430.png': [151.0, 106.5]}
{'431.png': [156.5, 100.5]}
{'432.png': [165.5, 93.5]}
{'433.png': [174.0, 86.5]}
{'434.png': [162.5, 74.5]}
{'435.png': [182.0, 94.0]}
{'436.png': [178.0, 126.5]}
{'437.png': [175.0, 126.5]}
{'438.png': [193.5, 131.0]}
{'439.png': [199.5, 140.0]}
{'440.png': [106.5, 58.0]}
{'441.png': [90.5, 75.5]}
{'442.png': [79.5, 97.5]}
{'443.png': [85.0, 94.0]}
{'444.png': [130.0, 70.0]}
{'445.png': [90.0, 37.0]}
{'446.png': [166.0, 77.5]}
{'447.png': [131.5, 99.5]}
{'448.png': [129.5, 129.0]}
{'449.png': [122.5, 139.5]}
{'450.png': [118.0, 157.0]}
{'451.png': [102.5, 165.5]}
{'452.png': [70.5, 146.0]}
{'453.png': [52.5, 119.0]}
{'454.png': [144.0, 34.0]}
{'455.png': [179.0, 60.5]}
{'456.png': [190.0, 93.0]}
{'457.png': [180.5, 89.0]}
{'458.png': [152.5, 51.5]}
{'459.png': [121.5, 33.5]}
{'460.png': [118.5, 41.0]}
{'461.png': [121.0, 59.0]}
{'462.png': [126.5, 71.0]}
{'463.png': [111.5, 106.0]}
{'464.png': [105.5, 116.5]}
{'465.png': [101.5, 152.5]}
{'466.png': [105.0, 179.0]}
{'467.png': [104.5, 161.5]}
{'468.png': [181.5, 114.5]}
{'469.png': [111.5, 140.0]}
{'470.png': [113.5, 148.0]}
{'471.png': [139.0, 150.5]}
{'472.png': [143.5, 149.5]}
{'473.png': [145.0, 151.0]}
{'474.png': [181.0, 135.5]}
{'475.png': [191.0, 149.5]}
{'476.png': [202.0, 161.0]}
{'477.png': [214.5, 164.5]}
{'478.png': [225.5, 152.5]}
{'479.png': [228.5, 132.0]}
{'480.png': [225.5, 111.5]}
{'481.png': [97.0, 31.5]}
{'482.png': [206.5, 113.0]}
{'483.png': [191.5, 118.0]}
{'484.png': [174.0, 131.0]}
{'485.png': [157.5, 144.0]}
{'486.png': [157.0, 127.5]}
{'487.png': [158.5, 126.5]}
{'488.png': [164.0, 128.5]}
{'489.png': [158.5, 117.0]}
{'490.png': [152.0, 116.5]}
{'491.png': [149.5, 114.5]}
{'492.png': [97.5, 32.0]}
{'493.png': [145.0, 115.5]}
{'494.png': [128.0, 117.0]}
{'495.png': [110.0, 123.0]}
{'496.png': [83.0, 135.5]}
{'497.png': [65.0, 139.5]}
{'498.png': [66.0, 140.5]}
{'499.png': [66.0, 136.5]}
{'500.png': [63.5, 134.0]}
{'501.png': [60.5, 132.5]}
{'502.png': [53.0, 132.5]}
{'503.png': [95.0, 54.0]}
{'504.png': [47.5, 133.0]}
{'505.png': [46.0, 129.0]}
{'506.png': [44.0, 127.0]}
{'507.png': [47.0, 124.5]}
{'508.png': [48.0, 122.0]}
{'509.png': [48.0, 125.0]}
{'510.png': [51.5, 120.5]}
{'511.png': [63.5, 119.0]}
{'512.png': [67.5, 114.0]}
{'513.png': [76.0, 124.5]}
{'514.png': [95.5, 83.0]}
{'515.png': [81.0, 116.0]}
{'516.png': [84.0, 121.5]}
{'517.png': [92.0, 113.5]}
{'518.png': [88.0, 108.5]}
{'519.png': [90.0, 86.5]}
{'520.png': [79.0, 80.0]}
{'521.png': [63.5, 77.0]}
{'522.png': [71.5, 78.0]}
{'523.png': [91.5, 81.0]}
{'524.png': [104.0, 89.5]}
